prioridade,tempo,nome
83390,467,bubble-and-squeak-88
142233,34,steak-and-ale-pie-688
151430,761,bubble-and-squeak-144
155895,531,cottage-pie-785
195253,80,steak-and-ale-pie-959
14734,501,bubble-and-squeak-945
86327,329,poitin-429
185626,112,cottage-pie-630
229398,367,fish-and-chips-915
10789,905,ploughman's-lunch-655
298730,397,bubble-and-squeak-646
167124,638,cottage-pie-242
275730,667,steak-and-ale-pie-704
39414,370,cottage-pie-52
16487,407,poitin-717
36280,846,steak-and-ale-pie-782
50431,579,ploughman's-lunch-614
106731,435,ploughman's-lunch-247
231478,926,fish-and-chips-752
282024,511,fish-and-chips-856
185641,975,poitin-278
139333,369,steak-and-ale-pie-751
280132,70,fish-and-chips-635
258170,80,fish-and-chips-513
77247,928,fish-and-chips-74
283426,349,steak-and-ale-pie-847
186363,946,ploughman's-lunch-258
236390,563,steak-and-ale-pie-715
27353,204,fish-and-chips-511
290401,69,poitin-155
222457,830,fish-and-chips-380
243699,446,ploughman's-lunch-181
85151,162,cottage-pie-688
201888,509,poitin-867
42713,78,bubble-and-squeak-821
272576,341,fish-and-chips-989
133485,580,cottage-pie-536
33146,860,bubble-and-squeak-140
156057,486,bubble-and-squeak-30
63972,469,steak-and-ale-pie-607
162336,213,fish-and-chips-335
106525,258,fish-and-chips-788
248736,920,ploughman's-lunch-803
84244,184,bubble-and-squeak-702
218580,199,cottage-pie-758
277232,871,steak-and-ale-pie-92
91527,184,cottage-pie-115
136056,322,cottage-pie-396
282470,216,steak-and-ale-pie-36
283366,314,steak-and-ale-pie-92
124011,658,ploughman's-lunch-206
231411,905,poitin-524
68341,662,poitin-216
189648,972,bubble-and-squeak-671
33003,124,cottage-pie-296
292283,710,bubble-and-squeak-385
112453,751,steak-and-ale-pie-799
162649,159,poitin-934
33248,35,ploughman's-lunch-222
214962,332,fish-and-chips-620
174368,356,bubble-and-squeak-85
120182,78,ploughman's-lunch-970
148716,123,cottage-pie-795
169099,228,fish-and-chips-226
64282,903,bubble-and-squeak-814
31591,311,steak-and-ale-pie-469
257441,128,steak-and-ale-pie-497
24276,608,steak-and-ale-pie-996
130833,580,fish-and-chips-788
232346,591,fish-and-chips-478
48793,94,poitin-320
88813,603,cottage-pie-557
47103,320,fish-and-chips-249
48529,725,fish-and-chips-511
254774,149,steak-and-ale-pie-110
195521,740,cottage-pie-401
42077,832,poitin-403
69633,15,poitin-477
89615,479,ploughman's-lunch-60
130588,156,steak-and-ale-pie-282
295944,454,poitin-824
173304,122,steak-and-ale-pie-48
199380,330,poitin-772
1225,345,steak-and-ale-pie-425
263511,787,steak-and-ale-pie-589
262739,905,bubble-and-squeak-937
185431,832,ploughman's-lunch-492
214830,635,ploughman's-lunch-795
120634,457,cottage-pie-925
110409,13,steak-and-ale-pie-102
280076,52,cottage-pie-824
291964,325,steak-and-ale-pie-839
54841,760,ploughman's-lunch-620
287221,119,ploughman's-lunch-933
236537,752,poitin-530
213183,839,bubble-and-squeak-518
111048,254,fish-and-chips-735
32615,411,steak-and-ale-pie-602
9243,27,steak-and-ale-pie-65
